id,ACTION
1,0.076
2,0.978
3,0.977
4,0.828
5,0.995
6,0.999
7,0.983
8,0.994
9,0.604
10,0.949
11,0.999
12,0.633
13,0.937
14,0.498
15,0.768
16,0.869
17,0.556
18,0.303
19,0.987
20,0.977
21,1
22,0.998
23,0.514
24,0.944
25,0.896
26,0.974
27,0.956
28,0.137
29,0.938
30,0.913
31,0.92
32,0.936
33,0.968
34,0.835
35,0.836
36,0.913
37,0.824
38,1
39,0.832
40,0.885
41,0.842
42,1
43,0.938
44,0.987
45,0.929
46,0.88
47,1
48,0.833
49,1
50,0.998
51,0.953
52,0.953
53,0.951
54,0.981
55,0.738
56,0.605
57,0.9
58,0.996
59,0.63
60,0.959
61,1
62,0.96
63,0.986
64,0.976
65,0.992
66,0.981
67,0.804
68,0.996
69,0.315
70,0.458
71,0.354
72,0.957
73,0.879
74,0.992
75,0.779
76,0.916
77,0.965
78,0.382
79,0.171
80,1
81,0.998
82,0.944
83,0.879
84,0.998
85,0.797
86,0.929
87,0.74
88,1
89,0.991
90,0.546
91,0.898
92,0.205
93,1
94,0.659
95,1
96,0.994
97,0.154
98,0.999
99,0.907
100,0.999
101,0.77
102,0.221
103,0.894
104,0.817
105,0.216
106,0.815
107,0.996
108,0.356
109,0.709
110,0.967
111,0.291
112,0.411
113,0.916
114,1
115,0.564
116,0.816
117,0.945
118,0.985
119,1
120,0.898
121,0.892
122,0.969
123,0.402
124,0.916
125,1
126,0.126
127,0.235
128,0.872
129,0.946
130,0.539
131,0.981
132,0.769
133,0.872
134,0.409
135,1
136,0.177
137,0.998
138,0.731
139,0.162
140,0.952
141,0.998
142,0.509
143,0.964
144,0.838
145,1
146,0.307
147,0.496
148,0.68
149,0.997
150,0.99
151,0.894
152,0.91
153,0.825
154,0.264
155,0.896
156,0.648
157,0.972
158,0.775
159,0.943
160,0.59
161,0.405
162,0.886
163,0.998
164,0.99
165,0.997
166,0.997
167,0.684
168,1
169,0.522
170,0.915
171,0.712
172,1
173,0.904
174,0.999
175,1
176,0.984
177,0.427
178,0.998
179,1
180,0.514
181,0.03
182,0.546
183,0.785
184,0.45
185,0.789
186,0.266
187,0.999
188,0.931
189,0.081
190,0.951
191,1
192,0.998
193,1
194,0.988
195,0.968
196,1
197,0.971
198,0.755
199,0.757
200,0.098
201,0.813
202,0.326
203,0.593
204,0.582
205,0.956
206,0.805
207,0.888
208,0.598
209,0.654
210,0.737
211,0.538
212,0.629
213,0.991
214,0.503
215,1
216,0.409
217,0.845
218,0.998
219,0.989
220,0.899
221,0.364
222,1
223,1
224,0.63
225,0.859
226,0.206
227,0.387
228,0.788
229,0.999
230,0.857
231,0.464
232,0.474
233,0.954
234,0.029
235,0.689
236,0.829
237,0.927
238,0.852
239,0.89
240,0.997
241,0.636
242,0.221
243,0.064
244,1
245,0.919
246,1
247,0.847
248,0.757
249,0.708
250,0.956
251,0.84
252,0.456
253,0.971
254,0.93
255,0.996
256,0.908
257,0.99
258,0.383
259,0.457
260,1
261,0.876
262,0.658
263,0.907
264,0.997
265,0.908
266,0.619
267,0.747
268,0.996
269,0.702
270,0.91
271,0.936
272,0.776
273,0.929
274,0.468
275,0.917
276,0.625
277,0.887
278,0.999
279,0.92
280,0.288
281,1
282,0.958
283,0.429
284,0.699
285,0.937
286,0.822
287,1
288,1
289,0.481
290,0.895
291,0.442
292,0.251
293,0.761
294,0.57
295,0.935
296,0.036
297,0.161
298,0.912
299,0.021
300,0.866
301,0.642
302,0.952
303,0.043
304,0.202
305,0.925
306,0.941
307,0.802
308,1
309,0.921
310,0.863
311,0.905
312,0.989
313,0.709
314,0.989
315,0.997
316,0.972
317,0.837
318,0.996
319,0.266
320,1
321,0.789
322,0.021
323,0.998
324,0.999
325,0.997
326,0.309
327,0.981
328,0.998
329,0.942
330,0.866
331,0.92
332,0.777
333,0.789
334,0.782
335,1
336,0.674
337,0.939
338,0.871
339,0.631
340,0.847
341,0.795
342,0.966
343,0.206
344,1
345,0.999
346,0.962
347,0.453
348,0.482
349,0.966
350,0.575
351,0.921
352,1
353,0.78
354,0.301
355,0.801
356,0.884
357,0.505
358,0.725
359,0.806
360,0.112
361,0.882
362,0.988
363,0.922
364,0.306
365,1
366,0.927
367,0.98
368,1
369,1
370,0.37
371,0.999
372,0.965
373,0.64
374,0.112
375,0.884
376,0.786
377,0.07
378,0.833
379,0.98
380,0.407
381,0.453
382,0.83
383,0.992
384,0.976
385,0.443
386,0.614
387,0.759
388,0.994
389,0.999
390,0.996
391,0.982
392,0.984
393,0.478
394,0.702
395,0.195
396,0.983
397,1
398,0.955
399,0.968
400,0.718
401,1
402,0.916
403,0.786
404,0.967
405,0.958
406,0.812
407,0.4
408,0.785
409,0.999
410,0.636
411,0.945
412,0.402
413,0.234
414,0.998
415,0.998
416,0.761
417,0.959
418,0.586
419,0.776
420,1
421,0.933
422,0.929
423,0.983
424,0.387
425,0.995
426,0.785
427,0.999
428,0.994
429,0.282
430,0.984
431,0.769
432,0.979
433,0.891
434,0.113
435,0.997
436,0.981
437,0.957
438,0.099
439,0.986
440,0.382
441,0.788
442,1
443,0.988
444,0.91
445,0.366
446,0.966
447,0.428
448,0.999
449,0.933
450,0.239
451,0.172
452,0.594
453,1
454,0.843
455,0.981
456,0.739
457,0.948
458,0.993
459,0.996
460,0.31
461,0.369
462,1
463,0.999
464,0.651
465,0.805
466,0.923
467,0.026
468,0.827
469,1
470,0.732
471,0.948
472,0.929
473,1
474,1
475,0.374
476,0.915
477,0.999
478,0.967
479,0.967
480,1
481,0.971
482,0.793
483,0.946
484,0.97
485,0.744
486,0.59
487,0.558
488,0.999
489,0.917
490,0.569
491,0.926
492,0.733
493,0.145
494,1
495,0.884
496,0.961
497,0.997
498,0.989
499,0.998
500,0.975
501,0.999
502,0.634
503,0.878
504,0.854
505,0.905
506,0.673
507,0.997
508,0.812
509,0.556
510,0.085
511,0.738
512,0.831
513,0.579
514,0.146
515,0.995
516,0.723
517,0.996
518,0.953
519,0.551
520,0.294
521,0.99
522,0.698
523,0.965
524,0.116
525,0.477
526,0.125
527,0.964
528,0.628
529,0.865
530,1
531,0.896
532,0.98
533,0.866
534,0.512
535,0.869
536,0.999
537,0.993
538,0.729
539,0.864
540,0.804
541,0.786
542,0.942
543,0.286
544,0.967
545,0.758
546,0.986
547,0.175
548,0.198
549,0.791
550,0.499
551,0.889
552,0.975
553,0.944
554,0.826
555,0.925
556,1
557,0.672
558,0.699
559,0.643
560,0.733
561,0.794
562,0.515
563,0.972
564,0.368
565,0.959
566,0.655
567,0.565
568,0.308
569,0.705
570,0.172
571,0.149
572,0.642
573,0.198
574,0.286
575,0.993
576,0.991
577,0.819
578,0.684
579,0.728
580,0.837
581,0.846
582,0.988
583,0.999
584,0.833
585,1
586,0.99
587,0.979
588,0.838
589,1
590,0.507
591,0.709
592,0.943
593,0.49
594,0.973
595,1
596,1
597,1
598,0.908
599,0.71
600,0.704
601,0.956
602,0.617
603,1
604,0.253
605,0.883
606,0.998
607,0.661
608,1
609,0.823
610,0.682
611,0.959
612,1
613,0.936
614,0.271
615,0.936
616,0.041
617,0.487
618,0.466
619,1
620,0.992
621,0.972
622,0.694
623,0.572
624,0.708
625,0.882
626,0.86
627,0.93
628,0.213
629,0.819
630,0.929
631,0.941
632,0.879
633,0.992
634,1
635,0.513
636,0.706
637,0.967
638,0.879
639,0.993
640,0.787
641,0.94
642,0.764
643,0.75
644,0.995
645,0.933
646,0.403
647,0.995
648,0.829
649,0.977
650,0.95
651,0.819
652,1
653,0.241
654,0.597
655,0.833
656,0.743
657,0.843
658,0.695
659,0.699
660,0.578
661,0.937
662,0.99
663,0.958
664,0.999
665,0.477
666,0.255
667,0.827
668,0.819
669,0.988
670,0.466
671,0.799
672,0.86
673,0.097
674,0.929
675,0.946
676,0.805
677,0.129
678,0.988
679,0.843
680,0.888
681,0.122
682,0.37
683,0.977
684,1
685,0.935
686,0.185
687,0.93
688,0.888
689,0.966
690,0.997
691,1
692,0.872
693,0.661
694,1
695,1
696,0.749
697,0.997
698,0.994
699,0.85
700,0.789
701,0.925
702,0.979
703,0.84
704,0.269
705,0.42
706,0.329
707,0.976
708,0.994
709,0.757
710,0.955
711,0.865
712,0.987
713,0.999
714,0.971
715,0.599
716,0.475
717,0.952
718,0.489
719,0.832
720,0.76
721,0.331
722,0.998
723,0.827
724,0.387
725,0.911
726,0.64
727,0.947
728,0.994
729,0.688
730,0.363
731,0.25
732,1
733,1
734,1
735,0.879
736,0.184
737,0.759
738,0.334
739,0.901
740,0.996
741,0.775
742,0.925
743,0.803
744,1
745,0.998
746,0.953
747,0.957
748,0.962
749,0.995
750,1
751,0.999
752,0.612
753,0.809
754,0.695
755,0.994
756,0.378
757,0.997
758,0.491
759,0.844
760,0.758
761,0.732
762,0.646
763,0.905
764,0.563
765,0.855
766,0.572
767,0.273
768,0.959
769,0.972
770,0.948
771,1
772,0.918
773,0.662
774,0.715
775,0.467
776,0.22
777,0.926
778,0.849
779,0.99
780,0.139
781,0.629
782,0.978
783,1
784,0.615
785,0.256
786,0.887
787,0.951
788,0.616
789,0.961
790,0.253
791,0.5
792,0.918
793,0.703
794,0.171
795,0.939
796,0.738
797,0.999
798,0.898
799,0.126
800,0.984
801,1
802,0.747
803,0.367
804,0.491
805,0.926
806,0.991
807,0.583
808,0.639
809,0.518
810,0.942
811,0.772
812,0.21
813,0.998
814,0.559
815,0.227
816,1
817,0.993
818,0.574
819,0.887
820,0.805
821,0.633
822,0.901
823,1
824,0.174
825,0.66
826,0.43
827,0.975
828,1
829,1
830,0.921
831,0.633
832,0.998
833,0.956
834,0.624
835,0.965
836,0.93
837,0.969
838,0.987
839,0.539
840,0.443
841,0.621
842,0.969
843,0.991
844,0.998
845,0.773
846,0.972
847,0.944
848,0.99
849,0.399
850,0.03
851,0.915
852,0.89
853,0.911
854,0.075
855,0.997
856,0.998
857,0.738
858,0.894
859,0.756
860,1
861,0.993
862,0.688
863,1
864,0.296
865,0.295
